2021-09-23 23:24:43.453 [http-nio-8080-exec-6] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://docker.for.mac.localhost:3306/tallybook?useSSL=false&useUnicode=true&characterEncoding=utf-8&autoReconnect=true&serverTimezone=Asia/Shanghai&allowPublicKeyRetrieval=true, version : 1.2.4, lastPacketReceivedIdleMillis : 108294
2021-09-23 23:24:43.454 [http-nio-8080-exec-14] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://docker.for.mac.localhost:3306/tallybook?useSSL=false&useUnicode=true&characterEncoding=utf-8&autoReconnect=true&serverTimezone=Asia/Shanghai&allowPublicKeyRetrieval=true, version : 1.2.4, lastPacketReceivedIdleMillis : 108300
2021-09-23 23:24:43.455 [http-nio-8080-exec-13] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://docker.for.mac.localhost:3306/tallybook?useSSL=false&useUnicode=true&characterEncoding=utf-8&autoReconnect=true&serverTimezone=Asia/Shanghai&allowPublicKeyRetrieval=true, version : 1.2.4, lastPacketReceivedIdleMillis : 108297
2021-09-23 23:24:43.457 [http-nio-8080-exec-10] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://docker.for.mac.localhost:3306/tallybook?useSSL=false&useUnicode=true&characterEncoding=utf-8&autoReconnect=true&serverTimezone=Asia/Shanghai&allowPublicKeyRetrieval=true, version : 1.2.4, lastPacketReceivedIdleMillis : 108314
2021-09-23 23:24:43.460 [http-nio-8080-exec-4] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://docker.for.mac.localhost:3306/tallybook?useSSL=false&useUnicode=true&characterEncoding=utf-8&autoReconnect=true&serverTimezone=Asia/Shanghai&allowPublicKeyRetrieval=true, version : 1.2.4, lastPacketReceivedIdleMillis : 108307
2021-09-23 23:24:43.586 [http-nio-8080-exec-2] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [TokenValidateException(code=403)]
2021-09-23 23:24:43.587 [http-nio-8080-exec-9] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [TokenValidateException(code=403)]
2021-09-23 23:24:43.587 [http-nio-8080-exec-1] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [TokenValidateException(code=403)]
2021-09-23 23:24:43.587 [http-nio-8080-exec-3] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [TokenValidateException(code=403)]
2021-09-23 23:24:43.586 [http-nio-8080-exec-7] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [TokenValidateException(code=403)]
2021-09-23 23:24:43.587 [http-nio-8080-exec-11] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [TokenValidateException(code=403)]
